reviews,titles
앞에 댓글 쓰신 분들. 정말 같이 죽자는 겁니까?,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
"왜이란을 두려워하는지알겠다..이란이 이런강렬한 무기와장비를를 활용한다는걸 처음알았음미국의 최신무기를 보는재미도쏠쏠하지만, 처음부터끝까지 짧지만 현대전투씬 쵝오",8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
진심 블랙호크다운 본 사람이라면 강추!!! 존잼이에요!!!,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
영화자체는괜찮은데 시간이너무짧아서 아쉬웟다 볼만함,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
댓글 달기위해 로그인 했다. 이게 영화냐 다큐지 그것도 재미나 있음몰라. 1점도 아깝다. 10점준 사람들은 지하드 같다.,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
댓글 장난허냐..이 OO들아..,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
아무나 이겨라! 이긴사람 우리편이다. 화이팅!,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
블랙호크다운을 능가하는 숨은 명작,8년 전쟁: 이란 vs 이라크 (Standing in the Dust)
?,EBS 댄스파티!
아이들이 좋아해요!!!,EBS 댄스파티!
?? 댄스파티요 ??오뚝이 준비 ~ 오뚝이 발싸 ~ 던질까 말까 던지까 마까 든질까 마까 든지까 마까던 던 든 든 던져 든져 ~,EBS 댄스파티!
이게 무엇입니까나아아아ㅔ,EBS 댄스파티!
"멋진차, 고급아파트를 가질수 없어 가난이 나쁜게 아니다. 가난은 그것으로 하여금 인간 생 전체적으로 가능성과 존엄성을 앗아가기 때문에 나쁜것이다.",가버나움 (Capernaum)
뺑반 극한직업보다 2억배 가치있고 의미있는 영화. 작년에 신과함께2독점때매 플로리다프로젝트가 흥행못했다. 진짜 한국영화 스크린 독점현상 심각하다,가버나움 (Capernaum)
기독교 선교자들인가요? 난민보호소에서 노래로 위로하던장면...처음엔 어이없고 욕이 나왔는데 생각해보니 우리 모두를 꼬집은 감독의 의도같기도했어요 진지한 고민도 실질적인 도움도 없는 값싼 동정심으로 끝나는 우리 모두의...,가버나움 (Capernaum)
"자인이 요나스에게 최선을 다하는 모습이, 누군가 자신에게 해줬으면 하고 바라는 최선인 것 같아서 마음이 아팠다. 자인이 요나스를 보내고 돌아오는 버스에서 흘리는 눈물이, 여동생을 잃고 흘리는 눈물이 자기 자신에게 흘...",가버나움 (Capernaum)
"""엄마의 말이 칼처럼 심장을 찌르네요""",가버나움 (Capernaum)
콘돔 보급이 시급하다.. 딸이 죽었는데 그 와중에 또 임신한거 충격이다.. 신이 하나를 데려가면 다른 하나를 주신다는 말은 정신병인가..,가버나움 (Capernaum)
낳기만 하고 기르지 않는 어른들을 향한 한 소년의 외침,가버나움 (Capernaum)
태어나고 싶어서 태어나는 아이는 없다. 모든 아이들은 부모의 욕심이다,가버나움 (Capernaum)
관람객 내 고통이 초라한 이유 ..,가버나움 (Capernaum)
신파 억지 감동과는 비교가 안된다,가버나움 (Capernaum)
이 햐~~ 여주 입 튀어 나온거 봐라~~,가슴 큰 형수
'비플릭스' 사이트에서 이 영화를 봤는데 재밌었어요 ㅎㅎㅎ,가슴 큰 형수
스포일러가 포함된 감상평입니다. 감상평 보기,가슴 큰 형수
스토리가 만들다가 만 느낌,가슴 큰 형수
스토리는 조금 신선했다.,가싶녀
단순한 로맨스 영화가 아니다,가장 보통의 연애 (Crazy Romance)
"관람객 연애와 직장, 모든것에 공감하며 미친듯이 웃다가- 현실적인 대사들에 뼈 후려맞고 살짝 아파하는 나를 발견...☆ 최근 본 코미디/로맨스 장르 영화 중 가장 잘 나온 듯",가장 보통의 연애 (Crazy Romance)
관람객 소오올찍히 그냥 저냥한 로코물인줄 알았는데 왜 공효진이 로코장인이라고 불리는지 또 깨닫게 해줌. 공효진 김래원 케미가 상상이 안됐는데 김래원의 재발견임ㅋㅋㅋ쓰면서도 웃김 김래원이 자꾸 생각나섴ㅋㅋㅋ간만에 볼거없는 ...,가장 보통의 연애 (Crazy Romance)
"재훈: ""남자랑 여자랑 같애?"" 선영: ""같지! 다르다고 배웠니 넌?"" ...",가장 보통의 연애 (Crazy Romance)
"2012년 건축학개론을 보며 내 10대시절의 첫사랑의 향기를 느꼈다면, 2019년 가장보통의연애를 보며 내 현재 30대 사랑을 볼수있다.. 실제로 나도 같은 직장을 다니며 함께 술을 먹던 술 친구가 이젠 아내가 되어...",가장 보통의 연애 (Crazy Romance)
영화가 술 처먹다 끝나네요 ㅋㅋㅋ,가장 보통의 연애 (Crazy Romance)
진짜 재밌어요.. 꼭보세요김래원 공효진 조합은 정말 최고 조연분들 연기도 최고!! 단순한 로맨틱 코미디 영화가 아니라 정말 현실적이고 많이 느낄수 있었어요 진짜 재밌게 잘봤습니다ㅠㅠ,가장 보통의 연애 (Crazy Romance)
관람객 공효진이랑 김래원 케미 미쳤다 ㅋㅋㅋㅋ 입모양게임하는거 보고 웃겨 죽을뻔 ㅠㅠ 팍팍한 삶에 한줄기 빛과 소금같은 영화였습니다...☆,가장 보통의 연애 (Crazy Romance)
"술로 시작해서 술로 끝나는 영화공감할수가 없었고 술을 안마시면 극복못하고, 술 마시면 개가되어 실수하고, 그러다가 사랑이 싹트고?? 별로였어요ㅎㅎ",가장 보통의 연애 (Crazy Romance)
공감이 별로안되는 ...생각보다 별로였어요. 이게 무슨 주변에 있는 평범한 연애라는건지;;; 술말고 맨정신엔 연애가 안되고 실연의 상처를 치유하기 힘든가요?,가장 보통의 연애 (Crazy Romance)
혼자영화관빌려서마음껏웃으며봤어요..제친구에게영화제목을 예기해줬을때 뭐?깔까부다?라고 해서엄청 웃었는데.. 은비씨 아버지라면 그 복식호흡으로...,갈까부다 (Wish you were here)
관람객 고봉수사단들 코미디 날연기가 괜히 나온게 아니구나ㅋㅋㅋㅋ 고봉수감독 뻔뻔함 갑,갈까부다 (Wish you were here)
아니 그래서 어떤방법으로 봐야 볼수 있는거냐 대체,갈까부다 (Wish you were here)
갈비뼈 금갔다고 했을때... 아... 이 사람 사기꾼이네... 싶더라...,갈까부다 (Wish you were here)
진짜 완전 단짠 ㅋㅋㅋ 진짜 개리얼하다,갈까부다 (Wish you were here)
영화 재미있게 봤어요 정말 코믹하고 진짜같은 애뜻함이 뭍어나네요,갈까부다 (Wish you were here)
영화 보다가 운건 서편제 이후로 처음이네..,갈까부다 (Wish you were here)
9.17일 전주독립영화관에서 봤습니다. 재미있었습니다. 생각할 주제도 던져주었구요.,갈까부다 (Wish you were here)
웃다가 우는건 거기에 털 안나죠?,갈까부다 (Wish you were here)
주인공 친구 두 명이 너무 재미있어요 ㅋㅋ 그리고 부럽습니다 감독님,갈까부다 (Wish you were here)
"관람객 나문희님은 원래부터 믿고보는 배우였지만, 김수안 배우는 ㄹㅇ 깜짝 놀람ㅠ 연기 너무 잘해서 눈물 줄줄 흘리고 왔습니다,,,",감쪽같은 그녀 (A Little Princess)
관람객 괜히 아침부터 봤다가 눈물바다 됨,감쪽같은 그녀 (A Little Princess)
병원에 계신 할머니 생각도 나고 너무 슬퍼요.그런데 스토리가 진부해요..평점이 다 10점인건 이해가 잘..약간 억지웃음코드 유발장면이 많구요.옛날 신파극 같은 느낌이에요.나문희 배우님 연기는 최강 인정입니다.,감쪽같은 그녀 (A Little Princess)
관람객 휴지 꼭 챙겨가세요... 눈물콧물 다 흘리고 왔어요. 연말에 보기 좋은 영화네요. 힐링했습니다.,감쪽같은 그녀 (A Little Princess)
모든 배우분들 사투리가 너무너무 어색하고그로인해 영화 집중도 안됫지만 스토리도너무 중구난방 이네요...두 주연분들 믿고 봤지만 실망의 연속...,감쪽같은 그녀 (A Little Princess)
